"","Date.On","Date.Off","Week","NH4.Orig.mg.per.L","NH4.mg.per.L","Censored"
"53",2010-05-04,2010-05-11,71," 0.019",0.019,FALSE
"54",2010-06-15,2010-06-22,77," 0.253",0.253,FALSE
"55",2010-06-22,2010-06-30,78,"<0.018",0.018,TRUE
"56",2010-06-30,2010-07-06,79,"<0.01",0.01,TRUE
"57",2010-08-24,2010-08-31,87," 0.014",0.014,FALSE
"58",2010-09-14,2010-09-22,90," 0.08",0.08,FALSE
"59",2010-09-22,2010-09-28,91,"<0.01",0.01,TRUE
"60",2010-09-28,2010-10-05,92," 0.065",0.065,FALSE
"61",2010-10-05,2010-10-12,93,"<0.01",0.01,TRUE
"62",2010-10-26,2010-11-02,96,"<0.01",0.01,TRUE
"63",2010-11-02,2010-11-09,97,"<0.01",0.01,TRUE
"64",2010-11-09,2010-11-16,98,"<0.01",0.01,TRUE
"65",2010-11-16,2010-11-23,99,"<0.01",0.01,TRUE
"66",2010-11-23,2010-11-30,100,"<0.01",0.01,TRUE
"67",2011-01-04,2011-01-11,106,"<0.008",0.008,TRUE
"68",2011-01-11,2011-01-18,107,"<0.008",0.008,TRUE
"69",2011-01-18,2011-01-25,108,"<0.008",0.008,TRUE
"70",2011-01-25,2011-02-01,109,"<0.008",0.008,TRUE
"71",2011-02-01,2011-02-08,110," 0.009",0.009,FALSE
"72",2011-02-08,2011-02-15,111,"<0.008",0.008,TRUE
"73",2011-02-15,2011-02-22,112," 0.017",0.017,FALSE
"74",2011-03-08,2011-03-15,115," 0.012",0.012,FALSE
"75",2011-03-15,2011-03-22,116," 0.02",0.02,FALSE
"76",2011-03-22,2011-03-29,117," 0.009",0.009,FALSE
"77",2011-03-29,2011-04-05,118," 0.014",0.014,FALSE
"78",2011-04-05,2011-04-12,119," 0.03",0.03,FALSE
"79",2011-04-12,2011-04-19,120," 0.06",0.06,FALSE
"80",2011-04-19,2011-04-26,121," 0.031",0.031,FALSE
"81",2011-04-26,2011-05-03,122," 0.024",0.024,FALSE
"82",2011-05-03,2011-05-10,123," 0.013",0.013,FALSE
"83",2011-05-10,2011-05-17,124," 0.059",0.059,FALSE
"84",2011-05-24,2011-05-31,126," 0.009",0.009,FALSE
"85",2011-05-31,2011-06-07,127," 0.017",0.017,FALSE
"86",2011-06-07,2011-06-14,128," 0.033",0.033,FALSE
"87",2011-06-14,2011-06-21,129," 0.052",0.052,FALSE
"88",2011-06-21,2011-06-28,130," 0.015",0.015,FALSE
"89",2011-06-28,2011-07-06,131," 0.019",0.019,FALSE
"90",2011-07-12,2011-07-20,133,"<0.008",0.008,TRUE
"91",2011-07-20,2011-07-26,134,"<0.008",0.008,TRUE
"92",2011-07-26,2011-08-02,135,"<0.008",0.008,TRUE
"93",2011-08-16,2011-08-23,138,"<0.008",0.008,TRUE
"94",2011-09-13,2011-09-20,142," 0.009",0.009,FALSE
"95",2011-09-30,2011-10-04,144," 0.013",0.013,FALSE
"96",2011-10-04,2011-10-12,145," 0.023",0.023,FALSE
"97",2011-10-12,2011-10-18,146," 0.036",0.036,FALSE
"98",2011-10-18,2011-10-25,147,"<0.008",0.008,TRUE
"99",2011-10-25,2011-11-01,148," 0.012",0.012,FALSE
"100",2011-11-01,2011-11-08,149," 0.03",0.03,FALSE
"101",2011-11-08,2011-11-15,150," 0.022",0.022,FALSE
"102",2011-12-13,2011-12-20,155," 0.008",0.008,FALSE
