Name,Political Affiliation at Appointment,Province / Territory,Appointed on the advice of,Term (yyyy.mm.dd),start_date,end_date,reason,diff_days,observed
"Bench, John Joseph",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1942.11.19 - 1947.12.09  (Death),1942-11-19 00:00:00,1947-12-09 00:00:00,Death,1846,True
"Benidickson, William Moore",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1965.07.07 - 1985.01.04  (Death),1965-07-07 00:00:00,1985-01-04 00:00:00,Death,7121,True
"Bennett, William Humphrey",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.11.13 - 1925.03.15  (Death),1917-11-13 00:00:00,1925-03-15 00:00:00,Death,2679,True
"Benson, James Rea",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1868.03.14 - 1885.03.18  (Death),1868-03-14 00:00:00,1885-03-18 00:00:00,Death,6213,True
"Bernier, Thomas-Alfred",Conservative (1867-1942),Manitoba,"Abbott, John Joseph Caldwell",1892.10.27 - 1908.12.30  (Death),1892-10-27 00:00:00,1908-12-30 00:00:00,Death,5907,True
"Berntson, Eric A.",Progressive Conservative Party,Western Provinces (Division),"Mulroney, Martin Brian",1990.09.27 - 2001.02.27  (Resignation),1990-09-27 00:00:00,2001-02-27 00:00:00,Resignation,3806,True
"Beyak, Lynn",Conservative Party of Canada,Ontario,"Harper, Stephen",2013.01.25 -,2013-01-25 00:00:00,2013-10-01 22:20:10.165196,,249,False
"Bielish, Martha Palamarek",Progressive Conservative Party,Alberta,"Clark, Charles Joseph",1979.09.27 - 1990.09.26  (Resignation),1979-09-27 00:00:00,1990-09-26 00:00:00,Resignation,4017,True
"Bill, Caleb Rand",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1872.02.01  (Death),1867-10-23 00:00:00,1872-02-01 00:00:00,Death,1562,True
"Bird, Florence Bayard",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1978.03.23 - 1983.01.15  (Retirement),1978-03-23 00:00:00,1983-01-15 00:00:00,Retirement,1759,True
"Biron, Michel",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",2001.10.04 - 2009.03.16  (Retirement),2001-10-04 00:00:00,2009-03-16 00:00:00,Retirement,2720,True
"Bishop, Charles Lawrence",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.09.23  (Resignation),1945-04-18 00:00:00,1966-09-23 00:00:00,Resignation,7828,True
"Black, Douglas",Conservative Party of Canada,Alberta,"Harper, Stephen",2013.01.25 -,2013-01-25 00:00:00,2013-10-01 22:20:10.165196,,249,False
"Black, Frank Bunting",Conservative (1867-1942),New Brunswick,"Meighen, Arthur",1921.11.25 - 1945.02.28  (Death),1921-11-25 00:00:00,1945-02-28 00:00:00,Death,8496,True
"Black, Thomas Reuben",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1904.06.10 - 1905.09.14  (Death),1904-06-10 00:00:00,1905-09-14 00:00:00,Death,461,True
"Blain, Richard",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.07.26 - 1926.11.27  (Death),1917-07-26 00:00:00,1926-11-27 00:00:00,Death,3411,True
"Blair, Adam Johnston Fergusson",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1867.12.29  (Death),1867-10-23 00:00:00,1867-12-29 00:00:00,Death,67,True
"Blais, Aristide",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1940.01.29 - 1964.11.10  (Death),1940-01-29 00:00:00,1964-11-10 00:00:00,Death,9052,True
"Blake, Oliver",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1873.12.10  (Death),1867-10-23 00:00:00,1873-12-10 00:00:00,Death,2240,True
"Blois, Frederick Murray",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.01.14 - 1976.10.12  (Resignation),1960-01-14 00:00:00,1976-10-12 00:00:00,Resignation,6116,True
"Blondin, Pierre Édouard",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1918.07.20 - 1943.10.29  (Death),1918-07-20 00:00:00,1943-10-29 00:00:00,Death,9232,True
"Bois, Henri Charles",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1957.01.03 - 1962.07.18  (Death),1957-01-03 00:00:00,1962-07-18 00:00:00,Death,2022,True
"Boisvenu, Pierre-Hugues",Conservative Party of Canada,Quebec,"Harper, Stephen",2010.01.29 -,2010-01-29 00:00:00,2013-10-01 22:20:10.165196,,1341,False
"Bolduc, Joseph",Nationalist Conservative,Quebec,"Macdonald, John Alexander",1884.10.03 - 1924.08.13  (Death),1884-10-03 00:00:00,1924-08-13 00:00:00,Death,14558,True
"Bolduc, Roch",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1988.09.26 - 2003.09.10  (Retirement),1988-09-26 00:00:00,2003-09-10 00:00:00,Retirement,5462,True
"Bonnell, M. Lorne",Liberal Party of Canada,Prince Edward Island,"Trudeau, Pierre Elliott",1971.11.04 - 1998.01.04  (Retirement),1971-11-04 00:00:00,1998-01-04 00:00:00,Retirement,9558,True
"Bosa, Peter",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1998.12.10  (Death),1977-04-05 00:00:00,1998-12-10 00:00:00,Death,7919,True
"Bossé, Joseph-Noël",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1868.01.01  (Resignation),1867-10-23 00:00:00,1868-01-01 00:00:00,Resignation,70,True
"Bostock, Hewitt",Liberal Party of Canada,British Columbia,"Laurier, Wilfrid",1904.06.06 - 1930.04.28  (Death),1904-06-06 00:00:00,1930-04-28 00:00:00,Death,9457,True
"Botsford, Amos Edwin",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1894.03.19  (Death),1867-10-23 00:00:00,1894-03-19 00:00:00,Death,9644,True
"Bouchard, Télésphore-Damien",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1962.11.13  (Death),1944-03-03 00:00:00,1962-11-13 00:00:00,Death,6829,True
"Boucher de Boucherville, Charles Eugène",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1879.02.12 - 1915.09.10  (Death),1879-02-12 00:00:00,1915-09-10 00:00:00,Death,13358,True
"Boucher, William Albert",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1957.01.03 - 1976.06.23  (Death),1957-01-03 00:00:00,1976-06-23 00:00:00,Death,7111,True
"Boudreau, J. Bernard",Liberal Party of Canada,Nova Scotia,"Chrétien, Joseph Jacques Jean",1999.10.04 - 2000.10.26  (Resignation),1999-10-04 00:00:00,2000-10-26 00:00:00,Resignation,388,True
"Bouffard, Paul Henri",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1946.12.27 - 1966.02.16  (Death),1946-12-27 00:00:00,1966-02-16 00:00:00,Death,6991,True
"Boulton, Charles Arkoll",Liberal-Conservative,Manitoba,"Macdonald, John Alexander",1889.12.10 - 1899.05.15  (Death),1889-12-10 00:00:00,1899-05-15 00:00:00,Death,3443,True
"Bourgeois, Charles",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1935.08.15 - 1940.05.15  (Death),1935-08-15 00:00:00,1940-05-15 00:00:00,Death,1735,True
"Bourget, Maurice",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.04.27 - 1979.03.29  (Death),1963-04-27 00:00:00,1979-03-29 00:00:00,Death,5815,True
"Bourinot, John",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1884.01.21  (Death),1867-10-23 00:00:00,1884-01-21 00:00:00,Death,5934,True
"Bourque, Romuald",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.07.06 - 1974.08.14  (Death),1963-07-06 00:00:00,1974-08-14 00:00:00,Death,4057,True
"Bourque, Thomas-Jean",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1917.01.20 - 1952.02.16  (Death),1917-01-20 00:00:00,1952-02-16 00:00:00,Death,12810,True
"Bowell, Mackenzie",Conservative (1867-1942),Ontario,"Thompson, John Sparrow David",1892.12.05 - 1917.12.10  (Death),1892-12-05 00:00:00,1917-12-10 00:00:00,Death,9135,True
"Boyd, John",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1880.02.11 - 1893.09.21  (Resignation),1880-02-11 00:00:00,1893-09-21 00:00:00,Resignation,4971,True
"Boyer, Arthur",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1909.06.28 - 1922.01.24  (Death),1909-06-28 00:00:00,1922-01-24 00:00:00,Death,4593,True
"Boyer, Gustave Benjamin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1922.03.11 - 1927.12.02  (Death),1922-03-11 00:00:00,1927-12-02 00:00:00,Death,2092,True
"Bradbury, George Henry",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.12.17 - 1925.09.06  (Death),1917-12-17 00:00:00,1925-09-06 00:00:00,Death,2820,True
"Bradette, Joseph-Arthur",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1961.09.12  (Death),1953-06-12 00:00:00,1961-09-12 00:00:00,Death,3014,True
"Bradley, Frederick Gordon",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1953.06.12 - 1966.03.30  (Death),1953-06-12 00:00:00,1966-03-30 00:00:00,Death,4674,True
"Braley, David",Conservative Party of Canada,Ontario,"Harper, Stephen",2010.05.20 -,2010-05-20 00:00:00,2013-10-01 22:20:10.165196,,1230,False
"Brazeau, Patrick",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.01.08 -,2009-01-08 00:00:00,2013-10-01 22:20:10.165196,,1727,False
"Brooks, Alfred Johnson",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1960.09.12 - 1967.11.07  (Resignation),1960-09-12 00:00:00,1967-11-07 00:00:00,Resignation,2612,True
"Brouse, William Henry",Reformer,Ontario,"Mackenzie, Alexander",1878.08.09 - 1881.08.23  (Death),1878-08-09 00:00:00,1881-08-23 00:00:00,Death,1110,True
"Brown, Albert Joseph",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1932.10.06 - 1938.11.16  (Death),1932-10-06 00:00:00,1938-11-16 00:00:00,Death,2232,True
"Brown, Bert",Conservative Party of Canada,Alberta,"Harper, Stephen",2007.07.10 - 2013.03.22  (Retirement),2007-07-10 00:00:00,2013-03-22 00:00:00,Retirement,2082,True
"Brown, George",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1873.12.16 - 1880.05.09  (Death),1873-12-16 00:00:00,1880-05-09 00:00:00,Death,2336,True
"Brunt, William Ralph",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.10.12 - 1962.07.07  (Death),1957-10-12 00:00:00,1962-07-07 00:00:00,Death,1729,True
"Bryden, John G.",Liberal Party of Canada,New Brunswick,"Chrétien, Joseph Jacques Jean",1994.11.23 - 2009.10.31  (Resignation),1994-11-23 00:00:00,2009-10-31 00:00:00,Resignation,5456,True
"Buchanan, John Alexander",Progressive Conservative Party,Alberta,"Diefenbaker, John George",1959.01.15 - 1965.10.02  (Resignation),1959-01-15 00:00:00,1965-10-02 00:00:00,Resignation,2452,True
"Buchanan, John M.",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian",1990.09.12 - 2006.04.22  (Retirement),1990-09-12 00:00:00,2006-04-22 00:00:00,Retirement,5701,True
"Buchanan, William Ashbury",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1954.07.11  (Death),1925-09-05 00:00:00,1954-07-11 00:00:00,Death,10536,True
"Buckwold, Sidney Labe",Liberal Party of Canada,Saskatchewan,"Trudeau, Pierre Elliott",1971.11.04 - 1991.11.03  (Retirement),1971-11-04 00:00:00,1991-11-03 00:00:00,Retirement,7304,True
"Bull, Harcourt Burland",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1879.02.24 - 1881.08.12  (Death),1879-02-24 00:00:00,1881-08-12 00:00:00,Death,900,True
"Burchill, George Percival",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1977.08.19  (Resignation),1945-04-19 00:00:00,1977-08-19 00:00:00,Resignation,11810,True
"Bureau, Jacques",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1925.09.05 - 1933.01.23  (Death),1925-09-05 00:00:00,1933-01-23 00:00:00,Death,2697,True
"Bureau, Jacques-Olivier",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1883.02.07  (Death),1867-10-23 00:00:00,1883-02-07 00:00:00,Death,5586,True
"Burke, Vincent P.",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1950.01.25 - 1953.12.19  (Death),1950-01-25 00:00:00,1953-12-19 00:00:00,Death,1424,True
"Burnham, Asa Allworth",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1873.05.10  (Death),1867-10-23 00:00:00,1873-05-10 00:00:00,Death,2026,True
"Burns, Kennedy Francis",Liberal Party of Canada,New Brunswick,"Thompson, John Sparrow David",1893.03.21 - 1895.06.23  (Death),1893-03-21 00:00:00,1895-06-23 00:00:00,Death,824,True
"Burns, Patrick",Independent,Alberta,"Bennett, Richard Bedford",1931.07.06 - 1936.06.01  (Resignation),1931-07-06 00:00:00,1936-06-01 00:00:00,Resignation,1792,True
"Burpee, Charles",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1900.02.01 - 1900.07.19  (Resignation),1900-02-01 00:00:00,1900-07-19 00:00:00,Resignation,168,True
"Buth, JoAnne L.",Conservative Party of Canada,Manitoba,"Harper, Stephen",2012.01.06 -,2012-01-06 00:00:00,2013-10-01 22:20:10.165196,,634,False
"Butts, Peggy",Liberal Party of Canada,Nova Scotia,"Chrétien, Joseph Jacques Jean",1997.09.22 - 1999.08.15  (Retirement),1997-09-22 00:00:00,1999-08-15 00:00:00,Retirement,692,True
"Calder, James Alexander",Conservative (1867-1942),Saskatchewan,"Meighen, Arthur",1921.09.22 - 1956.07.20  (Death),1921-09-22 00:00:00,1956-07-20 00:00:00,Death,12720,True
"Callbeck, Catherine S.",Liberal Party of Canada,Prince Edward Island,"Chrétien, Joseph Jacques Jean",1997.09.22 -,1997-09-22 00:00:00,2013-10-01 22:20:10.165196,,5853,False
"Cameron, Donald",Independent Liberal,Alberta,"St-Laurent, Louis Stephen",1955.07.28 - 1987.09.19  (Resignation),1955-07-28 00:00:00,1987-09-19 00:00:00,Resignation,11741,True
"Campbell, Alexander",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1887.02.07  (Resignation),1867-10-23 00:00:00,1887-02-07 00:00:00,Resignation,7047,True
"Campbell, Archibald",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1907.11.22 - 1913.01.15  (Death),1907-11-22 00:00:00,1913-01-15 00:00:00,Death,1881,True
"Campbell, Gordon Peter",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1943.02.19 - 1964.01.16  (Death),1943-02-19 00:00:00,1964-01-16 00:00:00,Death,7636,True
"Campbell, Larry W.",Liberal Party of Canada,British Columbia,"Martin, Paul Edgar Philippe",2005.08.02 -,2005-08-02 00:00:00,2013-10-01 22:20:10.165196,,2982,False
"Cantley, Thomas",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1935.07.20 - 1945.02.24  (Death),1935-07-20 00:00:00,1945-02-24 00:00:00,Death,3507,True
"Carignan, Claude",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.08.27 -,2009-08-27 00:00:00,2013-10-01 22:20:10.165196,,1496,False
"Carling, John",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1891.04.27 - 1892.02.17  (Resignation),1891-04-27 00:00:00,1892-02-17 00:00:00,Resignation,296,True
"Carling, John",Liberal-Conservative,Ontario,"Bowell, Mackenzie",1896.04.23 - 1911.11.06  (Death),1896-04-23 00:00:00,1911-11-06 00:00:00,Death,5674,True
