ctryname,cowcode2,politycode,un_region_name,un_continent_name,ehead,leaderspellreg,democracy,regime,start_year,duration,observed
Algeria,615,615.0,Northern Africa,Africa,Liamine Zeroual,Liamine Zeroual.Algeria.1994.1998.Military Dict,Non-democracy,Military Dict,1994,5,1
Algeria,615,615.0,Northern Africa,Africa,Abdelaziz Bouteflika,Abdelaziz Bouteflika.Algeria.1999.2008.Civilian Dict,Non-democracy,Civilian Dict,1999,10,0
Andorra,232,232.0,Southern Europe,Europe,Oscar Ribas Reig,Oscar Ribas Reig.Andorra.1993.1993.Parliamentary Dem,Democracy,Parliamentary Dem,1993,1,1
Andorra,232,232.0,Southern Europe,Europe,Marc Forne Molne,Marc Forne Molne.Andorra.1994.2004.Parliamentary Dem,Democracy,Parliamentary Dem,1994,11,1
Andorra,232,232.0,Southern Europe,Europe,Albert Pintat Santolï¿½ria,Albert Pintat Santolï¿½ria.Andorra.2005.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2005,4,0
Angola,540,540.0,Middle Africa,Africa,Agostinho Neto,Agostinho Neto.Angola.1975.1978.Civilian Dict,Non-democracy,Civilian Dict,1975,4,0
Angola,540,540.0,Middle Africa,Africa,Jose Eduardo dos Santos,Jose Eduardo dos Santos.Angola.1979.2008.Civilian Dict,Non-democracy,Civilian Dict,1979,30,0
Antigua & Barbuda,58,58.0,Caribbean,Americas,Vere Cornwall Bird,Vere Cornwall Bird.Antigua & Barbuda.1981.1993.Parliamentary Dem,Democracy,Parliamentary Dem,1981,13,1
Antigua & Barbuda,58,58.0,Caribbean,Americas,Lester Bird,Lester Bird.Antigua & Barbuda.1994.2003.Parliamentary Dem,Democracy,Parliamentary Dem,1994,10,1
Antigua & Barbuda,58,58.0,Caribbean,Americas,Baldwin Spencer,Baldwin Spencer.Antigua & Barbuda.2004.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2004,5,0
Argentina,160,160.0,South America,Americas,Juan Peron,Juan Peron.Argentina.1946.1954.Presidential Dem,Democracy,Presidential Dem,1946,9,1
Argentina,160,160.0,South America,Americas,Pedro Eugenio Aramburu Cilveti,Pedro Eugenio Aramburu Cilveti.Argentina.1955.1957.Military Dict,Non-democracy,Military Dict,1955,3,1
Argentina,160,160.0,South America,Americas,Arturo Frondizi,Arturo Frondizi.Argentina.1958.1961.Presidential Dem,Democracy,Presidential Dem,1958,4,1
Argentina,160,160.0,South America,Americas,Military,Military.Argentina.1962.1962.Military Dict,Non-democracy,Military Dict,1962,1,1
Argentina,160,160.0,South America,Americas,Arturo Umberto Illia,Arturo Umberto Illia.Argentina.1963.1965.Presidential Dem,Democracy,Presidential Dem,1963,3,1
Argentina,160,160.0,South America,Americas,Juan Carlos Ongania,Juan Carlos Ongania.Argentina.1966.1969.Military Dict,Non-democracy,Military Dict,1966,4,1
Argentina,160,160.0,South America,Americas,Roberto Marcelo Levingston,Roberto Marcelo Levingston.Argentina.1970.1970.Military Dict,Non-democracy,Military Dict,1970,1,1
Argentina,160,160.0,South America,Americas,Alejandro Agustan Lanusse,Alejandro Agustan Lanusse.Argentina.1971.1972.Military Dict,Non-democracy,Military Dict,1971,2,1
Argentina,160,160.0,South America,Americas,Juan Peron,Juan Peron.Argentina.1973.1973.Presidential Dem,Democracy,Presidential Dem,1973,1,0
Argentina,160,160.0,South America,Americas,Isabel Peron,Isabel Peron.Argentina.1974.1975.Presidential Dem,Democracy,Presidential Dem,1974,2,1
Argentina,160,160.0,South America,Americas,Jorge Rafael Videla,Jorge Rafael Videla.Argentina.1976.1980.Military Dict,Non-democracy,Military Dict,1976,5,1
Argentina,160,160.0,South America,Americas,Leopoldo Galtieri,Leopoldo Galtieri.Argentina.1981.1981.Military Dict,Non-democracy,Military Dict,1981,1,1
Argentina,160,160.0,South America,Americas,Reynaldo Bignone,Reynaldo Bignone.Argentina.1982.1982.Military Dict,Non-democracy,Military Dict,1982,1,1
Argentina,160,160.0,South America,Americas,Raul Alfonsin,Raul Alfonsin.Argentina.1983.1988.Presidential Dem,Democracy,Presidential Dem,1983,6,1
Argentina,160,160.0,South America,Americas,Carlos Menem,Carlos Menem.Argentina.1989.1998.Presidential Dem,Democracy,Presidential Dem,1989,10,1
Argentina,160,160.0,South America,Americas,Fernando de la Rua,Fernando de la Rua.Argentina.1999.2000.Presidential Dem,Democracy,Presidential Dem,1999,2,1
Argentina,160,160.0,South America,Americas,Eduardo Oscar Camano,Eduardo Oscar Camano.Argentina.2001.2001.Presidential Dem,Democracy,Presidential Dem,2001,1,1
Argentina,160,160.0,South America,Americas,Eduardo Alberto Duhalde Maldonado,Eduardo Alberto Duhalde Maldonado.Argentina.2002.2004.Presidential Dem,Democracy,Presidential Dem,2002,3,1
Argentina,160,160.0,South America,Americas,Nï¿½stor Carlos Kirchner Ostoic,Nï¿½stor Carlos Kirchner Ostoic.Argentina.2005.2006.Presidential Dem,Democracy,Presidential Dem,2005,2,1
Argentina,160,160.0,South America,Americas,Cristina Fernï¿½ndez de Kirchner,Cristina Fernï¿½ndez de Kirchner.Argentina.2007.2008.Presidential Dem,Democracy,Presidential Dem,2007,2,0
Armenia,371,371.0,Western Asia,Asia,Levon Ter-Petrosyan,Levon Ter-Petrosyan.Armenia.1991.1994.Mixed Dem,Democracy,Mixed Dem,1991,4,1
Armenia,371,371.0,Western Asia,Asia,Hrant Bagratyan,Hrant Bagratyan.Armenia.1995.1995.Mixed Dem,Democracy,Mixed Dem,1995,1,1
Armenia,371,371.0,Western Asia,Asia,Armen Sarkisyan,Armen Sarkisyan.Armenia.1996.1996.Mixed Dem,Democracy,Mixed Dem,1996,1,1
Armenia,371,371.0,Western Asia,Asia,Robert Kocharyan,Robert Kocharyan.Armenia.1997.1997.Mixed Dem,Democracy,Mixed Dem,1997,1,1
Armenia,371,371.0,Western Asia,Asia,Armen Darbinyan,Armen Darbinyan.Armenia.1998.1998.Mixed Dem,Democracy,Mixed Dem,1998,1,1
Armenia,371,371.0,Western Asia,Asia,Aram Sargsyan,Aram Sargsyan.Armenia.1999.1999.Mixed Dem,Democracy,Mixed Dem,1999,1,1
Armenia,371,371.0,Western Asia,Asia,Andranik Margaryan,Andranik Margaryan.Armenia.2000.2006.Mixed Dem,Democracy,Mixed Dem,2000,7,0
Armenia,371,371.0,Western Asia,Asia,Serzh Sargsyan,Serzh Sargsyan.Armenia.2007.2007.Mixed Dem,Democracy,Mixed Dem,2007,1,1
Armenia,371,371.0,Western Asia,Asia,Tigran Sargsyan,Tigran Sargsyan.Armenia.2008.2008.Mixed Dem,Democracy,Mixed Dem,2008,1,0
Australia,900,900.0,Australia and New Zealand,Oceania,Joseph Chifley,Joseph Chifley.Australia.1946.1948.Parliamentary Dem,Democracy,Parliamentary Dem,1946,3,1
Australia,900,900.0,Australia and New Zealand,Oceania,Robert Menzies,Robert Menzies.Australia.1949.1965.Parliamentary Dem,Democracy,Parliamentary Dem,1949,17,1
Australia,900,900.0,Australia and New Zealand,Oceania,Harold Holt,Harold Holt.Australia.1966.1966.Parliamentary Dem,Democracy,Parliamentary Dem,1966,1,0
Australia,900,900.0,Australia and New Zealand,Oceania,John McEwan,John McEwan.Australia.1967.1967.Parliamentary Dem,Democracy,Parliamentary Dem,1967,1,1
Australia,900,900.0,Australia and New Zealand,Oceania,John Gorton,John Gorton.Australia.1968.1970.Parliamentary Dem,Democracy,Parliamentary Dem,1968,3,1
Australia,900,900.0,Australia and New Zealand,Oceania,William McMahon,William McMahon.Australia.1971.1971.Parliamentary Dem,Democracy,Parliamentary Dem,1971,1,1
Australia,900,900.0,Australia and New Zealand,Oceania,E. Gough Whitlam,E. Gough Whitlam.Australia.1972.1974.Parliamentary Dem,Democracy,Parliamentary Dem,1972,3,1
Australia,900,900.0,Australia and New Zealand,Oceania,Malcom Fraser,Malcom Fraser.Australia.1975.1982.Parliamentary Dem,Democracy,Parliamentary Dem,1975,8,1
Australia,900,900.0,Australia and New Zealand,Oceania,Robert Hawke,Robert Hawke.Australia.1983.1990.Parliamentary Dem,Democracy,Parliamentary Dem,1983,8,1
Australia,900,900.0,Australia and New Zealand,Oceania,Paul Keating,Paul Keating.Australia.1991.1995.Parliamentary Dem,Democracy,Parliamentary Dem,1991,5,1
Australia,900,900.0,Australia and New Zealand,Oceania,John Howard,John Howard.Australia.1996.2006.Parliamentary Dem,Democracy,Parliamentary Dem,1996,11,1
Australia,900,900.0,Australia and New Zealand,Oceania,Kevin Michael Rudd,Kevin Michael Rudd.Australia.2007.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2007,2,0
Austria,305,305.0,Western Europe,Europe,Leopold Figl,Leopold Figl.Austria.1946.1952.Mixed Dem,Democracy,Mixed Dem,1946,7,1
Austria,305,305.0,Western Europe,Europe,Julius Raab,Julius Raab.Austria.1953.1960.Mixed Dem,Democracy,Mixed Dem,1953,8,1
Austria,305,305.0,Western Europe,Europe,Alfons Gorbach,Alfons Gorbach.Austria.1961.1963.Mixed Dem,Democracy,Mixed Dem,1961,3,1
Austria,305,305.0,Western Europe,Europe,Josef Klaus,Josef Klaus.Austria.1964.1969.Mixed Dem,Democracy,Mixed Dem,1964,6,1
Austria,305,305.0,Western Europe,Europe,Bruno Kreisky,Bruno Kreisky.Austria.1970.1982.Mixed Dem,Democracy,Mixed Dem,1970,13,1
Austria,305,305.0,Western Europe,Europe,Alfred Sinowatz,Alfred Sinowatz.Austria.1983.1985.Mixed Dem,Democracy,Mixed Dem,1983,3,1
Austria,305,305.0,Western Europe,Europe,Franz Vranitzky,Franz Vranitzky.Austria.1986.1996.Mixed Dem,Democracy,Mixed Dem,1986,11,1
Austria,305,305.0,Western Europe,Europe,Viktor Klima,Viktor Klima.Austria.1997.1999.Mixed Dem,Democracy,Mixed Dem,1997,3,1
Austria,305,305.0,Western Europe,Europe,Wolfgang Schussel,Wolfgang Schussel.Austria.2000.2006.Mixed Dem,Democracy,Mixed Dem,2000,7,1
Austria,305,305.0,Western Europe,Europe,Alfred Gusenbauer,Alfred Gusenbauer.Austria.2007.2008.Mixed Dem,Democracy,Mixed Dem,2007,2,0
Azerbaijan,373,373.0,Western Asia,Asia,Ayaz Mutalibov,Ayaz Mutalibov.Azerbaijan.1991.1991.Civilian Dict,Non-democracy,Civilian Dict,1991,1,1
Azerbaijan,373,373.0,Western Asia,Asia,Abulfez Elchibey,Abulfez Elchibey.Azerbaijan.1992.1992.Civilian Dict,Non-democracy,Civilian Dict,1992,1,1
Azerbaijan,373,373.0,Western Asia,Asia,Heydar Aliyev,Heydar Aliyev.Azerbaijan.1993.2002.Civilian Dict,Non-democracy,Civilian Dict,1993,10,0
Azerbaijan,373,373.0,Western Asia,Asia,Ilham Heydar oglu Aliyev,Ilham Heydar oglu Aliyev.Azerbaijan.2003.2008.Civilian Dict,Non-democracy,Civilian Dict,2003,6,0
Bahamas,31,31.0,Caribbean,Americas,Lynden Pindling,Lynden Pindling.Bahamas.1973.1991.Parliamentary Dem,Democracy,Parliamentary Dem,1973,19,1
Bahamas,31,31.0,Caribbean,Americas,Hubert Ingraham,Hubert Ingraham.Bahamas.1992.2001.Parliamentary Dem,Democracy,Parliamentary Dem,1992,10,1
Bahamas,31,31.0,Caribbean,Americas,Perry Gladstone Christie,Perry Gladstone Christie.Bahamas.2002.2006.Parliamentary Dem,Democracy,Parliamentary Dem,2002,5,1
Bahamas,31,31.0,Caribbean,Americas,Hubert Alexander Ingraham,Hubert Alexander Ingraham.Bahamas.2007.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2007,2,0
Bahrain,692,692.0,Western Asia,Asia,Sheikh 'Isa ibn Sulman Al Khalifah,Sheikh 'Isa ibn Sulman Al Khalifah.Bahrain.1971.1998.Monarchy,Non-democracy,Monarchy,1971,28,0
Bahrain,692,692.0,Western Asia,Asia,Sheikh Hamad ibn 'Isa Al Khalifah,Sheikh Hamad ibn 'Isa Al Khalifah.Bahrain.1999.2008.Monarchy,Non-democracy,Monarchy,1999,10,0
Bangladesh,771,771.0,Southern Asia,Asia,Tajuddin Ahmed,Tajuddin Ahmed.Bangladesh.1971.1971.Civilian Dict,Non-democracy,Civilian Dict,1971,1,1
Bangladesh,771,771.0,Southern Asia,Asia,Mujibur Rahman,Mujibur Rahman.Bangladesh.1972.1974.Civilian Dict,Non-democracy,Civilian Dict,1972,3,0
Bangladesh,771,771.0,Southern Asia,Asia,Abu Sadat Mohammad Sayem,Abu Sadat Mohammad Sayem.Bangladesh.1975.1976.Civilian Dict,Non-democracy,Civilian Dict,1975,2,1
Bangladesh,771,771.0,Southern Asia,Asia,Zia ur-Rahman,Zia ur-Rahman.Bangladesh.1977.1980.Military Dict,Non-democracy,Military Dict,1977,4,0
Bangladesh,771,771.0,Southern Asia,Asia,Abdus Sattar,Abdus Sattar.Bangladesh.1981.1981.Civilian Dict,Non-democracy,Civilian Dict,1981,1,1
Bangladesh,771,771.0,Southern Asia,Asia,Hossain Mohammad Ershad,Hossain Mohammad Ershad.Bangladesh.1982.1985.Military Dict,Non-democracy,Military Dict,1982,4,1
Bangladesh,771,771.0,Southern Asia,Asia,Hossain Mohammad Ershad,Hossain Mohammad Ershad.Bangladesh.1986.1989.Mixed Dem,Democracy,Mixed Dem,1986,4,1
Bangladesh,771,771.0,Southern Asia,Asia,Shahabuddin Ahmed,Shahabuddin Ahmed.Bangladesh.1990.1990.Mixed Dem,Democracy,Mixed Dem,1990,1,1
Bangladesh,771,771.0,Southern Asia,Asia,Khaleda Zia,Khaleda Zia.Bangladesh.1991.1995.Parliamentary Dem,Democracy,Parliamentary Dem,1991,5,1
Bangladesh,771,771.0,Southern Asia,Asia,Sheikh Hasina Wajed,Sheikh Hasina Wajed.Bangladesh.1996.2000.Parliamentary Dem,Democracy,Parliamentary Dem,1996,5,1
Bangladesh,771,771.0,Southern Asia,Asia,Khaleda Zia,Khaleda Zia.Bangladesh.2001.2006.Parliamentary Dem,Democracy,Parliamentary Dem,2001,6,1
Bangladesh,771,771.0,Southern Asia,Asia,military,military.Bangladesh.2007.2007.Military Dict,Non-democracy,Military Dict,2007,1,1
Bangladesh,771,771.0,Southern Asia,Asia,military,military.Bangladesh.2008.2008.Civilian Dict,Non-democracy,Civilian Dict,2008,1,0
Barbados,53,53.0,Caribbean,Americas,Errol Barrow,Errol Barrow.Barbados.1966.1975.Parliamentary Dem,Democracy,Parliamentary Dem,1966,10,1
Barbados,53,53.0,Caribbean,Americas,John Adams,John Adams.Barbados.1976.1984.Parliamentary Dem,Democracy,Parliamentary Dem,1976,9,0
Barbados,53,53.0,Caribbean,Americas,Bernard St. John,Bernard St. John.Barbados.1985.1985.Parliamentary Dem,Democracy,Parliamentary Dem,1985,1,1
Barbados,53,53.0,Caribbean,Americas,Errol Barrow,Errol Barrow.Barbados.1986.1986.Parliamentary Dem,Democracy,Parliamentary Dem,1986,1,0
Barbados,53,53.0,Caribbean,Americas,Erskine Sandiford,Erskine Sandiford.Barbados.1987.1993.Parliamentary Dem,Democracy,Parliamentary Dem,1987,7,1
Barbados,53,53.0,Caribbean,Americas,Owen Arthur,Owen Arthur.Barbados.1994.2007.Parliamentary Dem,Democracy,Parliamentary Dem,1994,14,1
Barbados,53,53.0,Caribbean,Americas,David Thompson,David Thompson.Barbados.2008.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2008,1,0
Belarus,370,370.0,Eastern Europe,Europe,Stanislau Shushkevich,Stanislau Shushkevich.Belarus.1991.1993.Civilian Dict,Non-democracy,Civilian Dict,1991,3,1
Belarus,370,370.0,Eastern Europe,Europe,Alyaksandr Lukashenka,Alyaksandr Lukashenka.Belarus.1994.2008.Civilian Dict,Non-democracy,Civilian Dict,1994,15,0
Belgium,211,211.0,Western Europe,Europe,Camille Huysmans,Camille Huysmans.Belgium.1946.1946.Parliamentary Dem,Democracy,Parliamentary Dem,1946,1,1
Belgium,211,211.0,Western Europe,Europe,Paul-Henri Spaak,Paul-Henri Spaak.Belgium.1947.1948.Parliamentary Dem,Democracy,Parliamentary Dem,1947,2,1
Belgium,211,211.0,Western Europe,Europe,Gaston Eyskens,Gaston Eyskens.Belgium.1949.1949.Parliamentary Dem,Democracy,Parliamentary Dem,1949,1,1
Belgium,211,211.0,Western Europe,Europe,Joseph Pholien,Joseph Pholien.Belgium.1950.1951.Parliamentary Dem,Democracy,Parliamentary Dem,1950,2,1
Belgium,211,211.0,Western Europe,Europe,Jean van Houtte,Jean van Houtte.Belgium.1952.1953.Parliamentary Dem,Democracy,Parliamentary Dem,1952,2,1
Belgium,211,211.0,Western Europe,Europe,Achille van Acker,Achille van Acker.Belgium.1954.1957.Parliamentary Dem,Democracy,Parliamentary Dem,1954,4,1
Belgium,211,211.0,Western Europe,Europe,Gaston Eyskens,Gaston Eyskens.Belgium.1958.1960.Parliamentary Dem,Democracy,Parliamentary Dem,1958,3,1
Belgium,211,211.0,Western Europe,Europe,Theodore Lefevre,Theodore Lefevre.Belgium.1961.1964.Parliamentary Dem,Democracy,Parliamentary Dem,1961,4,1
Belgium,211,211.0,Western Europe,Europe,Pierre Harmel,Pierre Harmel.Belgium.1965.1965.Parliamentary Dem,Democracy,Parliamentary Dem,1965,1,1
Belgium,211,211.0,Western Europe,Europe,Paul van den Boeynants,Paul van den Boeynants.Belgium.1966.1967.Parliamentary Dem,Democracy,Parliamentary Dem,1966,2,1
Belgium,211,211.0,Western Europe,Europe,Gaston Eyskens,Gaston Eyskens.Belgium.1968.1972.Parliamentary Dem,Democracy,Parliamentary Dem,1968,5,1
Belgium,211,211.0,Western Europe,Europe,Edmond Leburton,Edmond Leburton.Belgium.1973.1973.Parliamentary Dem,Democracy,Parliamentary Dem,1973,1,1
Belgium,211,211.0,Western Europe,Europe,Leo Tindemans,Leo Tindemans.Belgium.1974.1977.Parliamentary Dem,Democracy,Parliamentary Dem,1974,4,1
Belgium,211,211.0,Western Europe,Europe,Paul van den Boeynants,Paul van den Boeynants.Belgium.1978.1978.Parliamentary Dem,Democracy,Parliamentary Dem,1978,1,1
Belgium,211,211.0,Western Europe,Europe,Wilfried Martens,Wilfried Martens.Belgium.1979.1991.Parliamentary Dem,Democracy,Parliamentary Dem,1979,13,1
Belgium,211,211.0,Western Europe,Europe,Jean-Luc Dehaene,Jean-Luc Dehaene.Belgium.1992.1998.Parliamentary Dem,Democracy,Parliamentary Dem,1992,7,1
Belgium,211,211.0,Western Europe,Europe,Guy Verhofstadt,Guy Verhofstadt.Belgium.1999.2007.Parliamentary Dem,Democracy,Parliamentary Dem,1999,9,1
Belgium,211,211.0,Western Europe,Europe,Herman Van Rompuy,Herman Van Rompuy.Belgium.2008.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2008,1,0
Belize,80,80.0,Central America,Americas,George Cadle Price,George Cadle Price.Belize.1981.1983.Parliamentary Dem,Democracy,Parliamentary Dem,1981,3,1
Belize,80,80.0,Central America,Americas,Manuel Esquivel,Manuel Esquivel.Belize.1984.1988.Parliamentary Dem,Democracy,Parliamentary Dem,1984,5,1
Belize,80,80.0,Central America,Americas,George Cadle Price,George Cadle Price.Belize.1989.1992.Parliamentary Dem,Democracy,Parliamentary Dem,1989,4,1
Belize,80,80.0,Central America,Americas,Manuel Esquivel,Manuel Esquivel.Belize.1993.1997.Parliamentary Dem,Democracy,Parliamentary Dem,1993,5,1
Belize,80,80.0,Central America,Americas,Said Musa,Said Musa.Belize.1998.2007.Parliamentary Dem,Democracy,Parliamentary Dem,1998,10,1
Belize,80,80.0,Central America,Americas,Dean Oliver Barrow,Dean Oliver Barrow.Belize.2008.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2008,1,0
Benin,434,434.0,Western Africa,Africa,Hubert Maga,Hubert Maga.Benin.1960.1962.Civilian Dict,Non-democracy,Civilian Dict,1960,3,1
Benin,434,434.0,Western Africa,Africa,Christophe Soglo,Christophe Soglo.Benin.1963.1966.Military Dict,Non-democracy,Military Dict,1963,4,1
Benin,434,434.0,Western Africa,Africa,Alphonse Alley,Alphonse Alley.Benin.1967.1967.Military Dict,Non-democracy,Military Dict,1967,1,1
Benin,434,434.0,Western Africa,Africa,military,military.Benin.1968.1969.Military Dict,Non-democracy,Military Dict,1968,2,1
Benin,434,434.0,Western Africa,Africa,Hubert Maga,Hubert Maga.Benin.1970.1971.Civilian Dict,Non-democracy,Civilian Dict,1970,2,1
Benin,434,434.0,Western Africa,Africa,Mathieu Kerekou,Mathieu Kerekou.Benin.1972.1990.Military Dict,Non-democracy,Military Dict,1972,19,1
Benin,434,434.0,Western Africa,Africa,Nicephore Soglo,Nicephore Soglo.Benin.1991.1995.Presidential Dem,Democracy,Presidential Dem,1991,5,1
Benin,434,434.0,Western Africa,Africa,Mathieu Kerekou,Mathieu Kerekou.Benin.1996.2005.Presidential Dem,Democracy,Presidential Dem,1996,10,1
Benin,434,434.0,Western Africa,Africa,Yayi Boni,Yayi Boni.Benin.2006.2008.Presidential Dem,Democracy,Presidential Dem,2006,3,0
Bhutan,760,760.0,Southern Asia,Asia,Jigme Wangchuk,Jigme Wangchuk.Bhutan.1946.1951.Monarchy,Non-democracy,Monarchy,1946,6,0
Bhutan,760,760.0,Southern Asia,Asia,Jigme Dorji Wangchuk,Jigme Dorji Wangchuk.Bhutan.1952.1971.Monarchy,Non-democracy,Monarchy,1952,20,0
Bhutan,760,760.0,Southern Asia,Asia,Jigme Singye Wangchuk,Jigme Singye Wangchuk.Bhutan.1972.2006.Monarchy,Non-democracy,Monarchy,1972,35,1
Bhutan,760,760.0,Southern Asia,Asia,Kinzang Dorji,Kinzang Dorji.Bhutan.2007.2007.Parliamentary Dem,Democracy,Parliamentary Dem,2007,1,1
Bhutan,760,760.0,Southern Asia,Asia,Jigme Thinley,Jigme Thinley.Bhutan.2008.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2008,1,0
Bolivia,145,145.0,South America,Americas,Military,Military.Bolivia.1946.1946.Military Dict,Non-democracy,Military Dict,1946,1,1
Bolivia,145,145.0,South America,Americas,Enrique Hertzog,Enrique Hertzog.Bolivia.1947.1948.Civilian Dict,Non-democracy,Civilian Dict,1947,2,1
Bolivia,145,145.0,South America,Americas,Mamerto Urriolagoitia,Mamerto Urriolagoitia.Bolivia.1949.1950.Civilian Dict,Non-democracy,Civilian Dict,1949,2,1
Bolivia,145,145.0,South America,Americas,Hugo Ballivion Rojas,Hugo Ballivion Rojas.Bolivia.1951.1951.Military Dict,Non-democracy,Military Dict,1951,1,1
Bolivia,145,145.0,South America,Americas,Victor Paz Estenssoro,Victor Paz Estenssoro.Bolivia.1952.1955.Civilian Dict,Non-democracy,Civilian Dict,1952,4,1
Bolivia,145,145.0,South America,Americas,Hernan Siles Zuazo,Hernan Siles Zuazo.Bolivia.1956.1959.Civilian Dict,Non-democracy,Civilian Dict,1956,4,1
Bolivia,145,145.0,South America,Americas,Victor Paz Estenssoro,Victor Paz Estenssoro.Bolivia.1960.1963.Civilian Dict,Non-democracy,Civilian Dict,1960,4,1
Bolivia,145,145.0,South America,Americas,Rene Barrientos Ortuno,Rene Barrientos Ortuno.Bolivia.1964.1964.Military Dict,Non-democracy,Military Dict,1964,1,1
Bolivia,145,145.0,South America,Americas,Rene Barrientos Ortuno+Alfredo Ovando Candia,Rene Barrientos Ortuno+Alfredo Ovando Candia.Bolivia.1965.1965.Military Dict,Non-democracy,Military Dict,1965,1,1
Bolivia,145,145.0,South America,Americas,Rene Barrientos Ortuno,Rene Barrientos Ortuno.Bolivia.1966.1968.Military Dict,Non-democracy,Military Dict,1966,3,0
Bolivia,145,145.0,South America,Americas,Alfredo Ovando Candia,Alfredo Ovando Candia.Bolivia.1969.1969.Military Dict,Non-democracy,Military Dict,1969,1,1
