       id        heduc   heblack   mixed     years   div  
     375    < 12 years        No      No    35.001    No  
     377    < 12 years        No      No    5.0025   Yes  
     385   12-15 years        No      No    37.248    No  
     390    < 12 years        No      No    34.653    No  
     392   12-15 years        No      No    16.605    No  
     394    < 12 years        No      No    44.841    No  
     398   12-15 years        No      No    11.671    No  
     399   12-15 years        No      No    20.504    No  
     405     16+ years        No      No     6.913    No  
     408    < 12 years        No      No    22.404    No  
     410    < 12 years        No      No    31.485    No  
     418    < 12 years        No      No    3.4965   Yes  
     425    < 12 years        No      No        24    No  
     427    < 12 years        No      No    33.851    No  
     428   12-15 years        No      No    14.576    No  
     431    < 12 years        No      No    2.0015   Yes  
     434   12-15 years        No      No    52.663    No  
     437    < 12 years        No      No    2.6095   Yes  
     439     16+ years        No      No    22.719    No  
     445   12-15 years        No      No    4.5805   Yes  
     447    < 12 years        No      No    43.751    No  
     449    < 12 years        No      No    42.062    No  
     451     16+ years        No      No     29.07    No  
     454     16+ years        No      No     29.07    No  
     457   12-15 years        No      No    56.052    No  
     462   12-15 years        No      No    17.081   Yes  
     468   12-15 years        No      No    27.168    No  
     470    < 12 years        No      No     6.001    No  
     475   12-15 years        No      No     5.919   Yes  
     477   12-15 years        No      No        20    No  
     479     16+ years        No      No    10.456   Yes  
     485    < 12 years        No      No    26.971    No  
     493    < 12 years        No      No     53.84    No  
     496   12-15 years       Yes      No    11.581   Yes  
     502     16+ years       Yes      No    22.976    No  
     504    < 12 years        No      No    32.999    No  
     508   12-15 years        No      No    8.3615   Yes  
     510   12-15 years        No      No    17.084   Yes  
     512   12-15 years        No      No     8.003    No  
     513   12-15 years        No      No     3.775    No  
     520   12-15 years        No      No     3.565    No  
     528    < 12 years        No      No     4.977    No  
     530   12-15 years        No      No     5.246    No  
     537   12-15 years        No      No     1.257    No  
     551   12-15 years        No      No        .6    No  
     553    < 12 years        No      No    40.501    No  
     559   12-15 years        No      No    49.002    No  
     561    < 12 years        No      No    6.0015   Yes  
     566   12-15 years        No      No     1.878    No  
     576   12-15 years       Yes      No     7.003    No  
     579   12-15 years       Yes      No     7.003    No  
     581     16+ years        No      No    41.199    No  
     584   12-15 years        No      No    47.546    No  
     590   12-15 years        No      No    21.467    No  
     592     16+ years        No      No    21.002   Yes  
     600   12-15 years        No      No    21.467    No  
     602    < 12 years        No      No    24.832    No  
     604    < 12 years        No      No    41.999    No  
     606    < 12 years        No      No    16.972    No  
     607   12-15 years       Yes      No    14.867    No  
     613   12-15 years       Yes      No    7.1675   Yes  
     615    < 12 years       Yes      No    21.498   Yes  
     616   12-15 years       Yes      No    7.1675   Yes  
     620   12-15 years        No      No    13.421    No  
     628   12-15 years        No      No    15.849    No  
     638   12-15 years        No      No    19.425    No  
     676     16+ years        No      No     9.336   Yes  
     684     16+ years        No      No    10.587   Yes  
     686    < 12 years        No      No     8.668   Yes  
     688    < 12 years        No      No    34.004    No  
     690    < 12 years        No      No    31.997    No  
     693   12-15 years        No      No    9.5825   Yes  
     700   12-15 years        No      No     48.46    No  
     702   12-15 years        No      No    12.527   Yes  
     705   12-15 years        No      No    20.252    No  
     713   12-15 years        No      No     5.002   Yes  
     716     16+ years        No      No    4.4955   Yes  
     718   12-15 years        No      No     6.776   Yes  
     720   12-15 years        No      No        12    No  
     721   12-15 years        No      No   13.5795   Yes  
     725   12-15 years        No      No    11.291   Yes  
     728    < 12 years        No      No    40.602    No  
     730    < 12 years        No      No    54.412    No  
     734   12-15 years        No      No     9.563    No  
     740   12-15 years        No      No     7.901    No  
     748     16+ years        No      No     24.03    No  
     751     16+ years        No      No     7.901    No  
     753    < 12 years        No      No    43.685    No  
     756    < 12 years        No      No    43.685    No  
     759   12-15 years        No      No    29.366    No  
     763   12-15 years        No      No     2.554    No  
     769   12-15 years        No      No     4.668   Yes  
     771   12-15 years        No      No    4.9585   Yes  
     774   12-15 years        No      No     2.554    No  
     780   12-15 years        No      No    4.7365   Yes  
     786   12-15 years        No      No     1.624    No  
     789     16+ years        No      No    42.919    No  
     791    < 12 years        No      No    14.972   Yes  
     794   12-15 years        No      No     3.748   Yes  
     798   12-15 years        No      No     1.106    No  
     807   12-15 years        No      No    2.6695   Yes  
     809    < 12 years        No      No    34.998    No  
     811    < 12 years        No      No    34.075   Yes  
     814   12-15 years       Yes      No    20.999    No  
     818    < 12 years        No      No    46.979    No  
     820     16+ years        No      No    28.775    No  
     823   12-15 years        No      No    61.407    No  
     829    < 12 years        No      No     2.998    No  
     831     16+ years        No      No    22.475    No  
     840     16+ years        No      No    10.743    No  
     842    < 12 years        No      No    35.335    No  
     844   12-15 years        No      No    32.175    No  
     846    < 12 years        No      No    38.149    No  
     852   12-15 years        No      No   11.2525   Yes  
     856    < 12 years        No      No    1.3335   Yes  
     859    < 12 years        No      No    55.833    No  
     863    < 12 years        No      No    41.164    No  
     868    < 12 years        No      No     37.06    No  
     872    < 12 years        No      No    4.9005   Yes  
     875   12-15 years        No      No    28.738   Yes  
     877   12-15 years        No      No     1.232   Yes  
     880     16+ years        No      No    29.634    No  
     883    < 12 years        No      No    13.999    No  
     885   12-15 years        No      No    38.324    No  
     887     16+ years        No      No     5.541    No  
     895     16+ years        No      No    37.268    No  
     900    < 12 years       Yes      No    53.459    No  
     902    < 12 years       Yes      No     30.96    No  
     904    < 12 years        No      No     7.001    No  
     912    < 12 years        No      No      46.1    No  
     915   12-15 years        No      No     54.79    No  
     917     16+ years        No      No    30.001    No  
     919     16+ years        No      No    36.252    No  
     926    < 12 years       Yes      No    24.999    No  
     929    < 12 years        No      No        32    No  
     931    < 12 years        No      No    25.999    No  
     936   12-15 years       Yes      No     9.421   Yes  
     937   12-15 years        No     Yes     8.783    No  
     940   12-15 years        No      No    40.252    No  
     942    < 12 years        No      No     6.875   Yes  
     947     16+ years        No      No    13.588   Yes  
     952   12-15 years        No      No    21.736    No  
     957   12-15 years        No      No    13.057    No  
     960    < 12 years        No      No    35.028    No  
     963    < 12 years       Yes      No     24.26    No  
     964    < 12 years       Yes      No    22.015    No  
     971    < 12 years        No      No    34.571    No  
     973    < 12 years        No      No    22.998    No  
     976     16+ years        No      No    46.823    No  
     979   12-15 years        No      No     47.17    No  
     982   12-15 years        No      No    20.093    No  
     986   12-15 years        No      No    12.887    No  
     987   12-15 years        No      No    12.887    No  
     989    < 12 years        No      No    32.167    No  
     991    < 12 years        No      No    52.671    No  
     996     16+ years        No      No    20.665    No  
    1002     16+ years        No      No     18.76    No  
    1005     16+ years        No      No     18.76    No  
    1008   12-15 years        No      No    10.587   Yes  
    1010     16+ years        No      No    7.6715   Yes  
    1012     16+ years        No      No    25.073    No  
    1015     16+ years        No      No    30.773    No  
    1021    < 12 years        No      No      .879    No  
    1024   12-15 years        No      No     1.002    No  
    1031   12-15 years        No      No    48.802    No  
    1053   12-15 years        No      No     3.669    No  
    1056     16+ years        No      No    23.001    No  
    1060    < 12 years        No      No    48.413    No  
    1061     16+ years        No      No    14.511    No  
    1063    < 12 years        No      No    49.916    No  
    1066   12-15 years        No      No    60.504    No  
    1068    < 12 years        No      No   21.9315   Yes  
    1069   12-15 years        No      No     4.482    No  
    1074    < 12 years        No      No    55.581    No  
    1076   12-15 years        No      No    42.582    No  
    1077     16+ years        No      No    26.604    No  
    1079   12-15 years        No      No    36.301   Yes  
    1084   12-15 years        No      No         8   Yes  
    1087   12-15 years        No      No    32.668    No  
    1089    < 12 years        No      No    20.999    No  
    1091    < 12 years        No      No    57.049    No  
    1098   12-15 years        No      No    2.0835   Yes  
    1099   12-15 years        No      No     9.016    No  
    1101    < 12 years        No      No        44    No  
    1110    < 12 years        No      No    55.496    No  
    1112    < 12 years        No      No    61.832    No  
    1115    < 12 years        No      No    17.169   Yes  
    1121    < 12 years        No      No   14.7955   Yes  
    1127   12-15 years        No      No   10.6695   Yes  
    1131   12-15 years        No      No      3.31   Yes  
    1133   12-15 years        No      No    7.4345   Yes  
    1134   12-15 years        No      No    18.757   Yes  
    1137   12-15 years        No      No     3.888    No  
    1139     16+ years        No      No   21.7465   Yes  
    1143    < 12 years        No      No     3.425    No  
    1145   12-15 years        No      No    10.872   Yes  
    1149   12-15 years        No      No     27.97    No  
    1151   12-15 years        No      No   14.0125   Yes  
    1153   12-15 years       Yes      No   21.0045   Yes  
    1155     16+ years        No      No      4.49    No  
    1160   12-15 years        No      No    10.653    No  
    1161   12-15 years        No      No    10.653    No  
    1164   12-15 years        No      No    59.948    No  
    1166     16+ years        No      No    9.0105   Yes  
    1169     16+ years        No      No     8.999   Yes  
    1172    < 12 years        No      No     49.35    No  
    1174    < 12 years        No      No    56.101    No  
    1176    < 12 years        No      No    14.012    No  
    1178    < 12 years        No      No    22.982    No  
    1180    < 12 years        No      No    44.077    No  
    1184     16+ years        No      No     47.88    No  
    1186    < 12 years        No      No   10.5955   Yes  
    1188   12-15 years        No      No     4.665   Yes  
    1191   12-15 years        No      No    50.653    No  
    1197   12-15 years        No      No    13.029    No  
    1206    < 12 years        No      No    57.164    No  
    1209   12-15 years        No      No    1.4605   Yes  
    1210     16+ years        No      No    24.747    No  
    1212    < 12 years        No      No    51.001    No  
    1213     16+ years        No      No    14.198    No  
    1216     16+ years        No      No    44.383    No  
    1218    < 12 years        No      No    36.205   Yes  
    1221   12-15 years        No      No    47.001    No  
    1223   12-15 years        No      No    50.962    No  
    1226   12-15 years        No      No     38.42    No  
    1230    < 12 years        No      No    23.458    No  
    1232    < 12 years        No      No    48.559    No  
    1236   12-15 years        No      No   10.9325   Yes  
    1238    < 12 years        No      No    44.063    No  
    1241     16+ years        No      No    22.579    No  
    1253    < 12 years        No      No     1.251   Yes  
    1263    < 12 years        No      No    16.309    No  
    1273   12-15 years        No      No    2.8335   Yes  
    1278   12-15 years        No      No    15.671    No  
    1282     16+ years        No      No    11.587    No  
    1291   12-15 years        No      No      6.39   Yes  
    1292   12-15 years        No      No   15.6715   Yes  
    1295   12-15 years       Yes      No   17.7765   Yes  
    1297    < 12 years       Yes     Yes   10.6355   Yes  
    1300    < 12 years       Yes      No    54.505    No  
    1308     16+ years       Yes      No    14.631    No  
    1317   12-15 years       Yes      No    16.057    No  
    1322    < 12 years        No      No    19.001    No  
    1325    < 12 years        No      No    19.001    No  
    1329   12-15 years        No      No     3.165    No  
    1332    < 12 years        No      No    24.671    No  
    1336     16+ years        No      No    1.1075   Yes  
    1339    < 12 years        No      No    27.499   Yes  
    1345   12-15 years        No      No    17.254   Yes  
    1357     16+ years        No      No    15.003    No  
    1360     16+ years        No      No    14.768    No  
    1362   12-15 years        No      No    8.6845   Yes  
    1366    < 12 years        No      No    9.0855   Yes  
    1367   12-15 years        No      No    6.0205   Yes  
    1369   12-15 years        No      No    32.706    No  
    1372   12-15 years        No      No    32.706    No  
    1374   12-15 years        No      No    33.498    No  
    1376     16+ years        No      No    30.653   Yes  
    1379     16+ years        No      No     34.04    No  
    1381    < 12 years        No      No    55.398    No  
    1383    < 12 years        No      No    51.707    No  
    1385     16+ years        No      No    33.207    No  
    1386     16+ years        No      No     8.758    No  
    1388    < 12 years        No      No    50.001    No  
    1399     16+ years        No      No    18.971    No  
    1405     16+ years        No      No    21.804    No  
    1412     16+ years        No      No      5.53    No  
    1418    < 12 years        No      No    42.341    No  
    1425   12-15 years        No      No    10.179    No  
    1426   12-15 years        No      No      .972    No  
    1434   12-15 years        No      No      .972    No  
    1439    < 12 years        No      No    14.565    No  
    1470   12-15 years        No      No    13.689    No  
    1475   12-15 years        No      No     7.368    No  
    1477   12-15 years        No      No    25.084    No  
    1483   12-15 years        No      No    22.242    No  
    1486   12-15 years        No      No    5.1525   Yes  
    1489   12-15 years        No      No    18.858    No  
    1491    < 12 years        No      No    7.5815   Yes  
    1493     16+ years        No      No   37.5005   Yes  
    1495    < 12 years        No      No    53.498    No  
    1500   12-15 years        No      No     6.407    No  
    1506     16+ years        No      No     3.811    No  
    1509    < 12 years        No      No     9.569    No  
    1511     16+ years        No      No    40.115    No  
    1514   12-15 years        No      No    34.582    No  
    1519     16+ years        No      No     7.546    No  
    1520     16+ years        No      No     7.546    No  
    1522   12-15 years        No      No    58.053    No  
    1528   12-15 years        No      No    11.272    No  
    1534    < 12 years        No      No    60.208    No  
    1536    < 12 years        No      No    22.001    No  
    1539   12-15 years        No      No    21.164    No  
    1546     16+ years        No      No        20   Yes  
    1555   12-15 years        No      No     4.252   Yes  
    1589   12-15 years        No      No   11.1675   Yes  
    1596     16+ years        No      No   10.2065   Yes  
    1599     16+ years        No      No    50.385    No  
    1603    < 12 years        No     Yes     5.848    No  
    1609     16+ years        No      No    1.6125   Yes  
    1611    < 12 years        No      No    35.381    No  
    1624   12-15 years        No      No     6.795    No  
    1632     16+ years        No      No     2.012    No  
    1634   12-15 years        No      No     4.082   Yes  
    1648   12-15 years        No      No     1.807    No  
    1657   12-15 years        No      No     4.739   Yes  
    1661     16+ years        No      No      5.09    No  
    1668    < 12 years        No      No     6.754   Yes  
    1670    < 12 years        No      No    32.769    No  
    1685   12-15 years        No      No    25.774    No  
    1690   12-15 years        No      No     5.966    No  
    1693     16+ years        No      No     7.966   Yes  
    1695    < 12 years        No      No    52.611    No  
    1697     16+ years        No      No    54.166    No  
    1701   12-15 years        No      No    22.765    No  
    1704    < 12 years        No      No    5.0025   Yes  
    1707   12-15 years        No      No    29.229    No  
    1709    < 12 years        No      No    49.125    No  
    1713   12-15 years        No      No    39.488    No  
    1715    < 12 years        No      No    45.087    No  
    1717   12-15 years        No      No    4.6925   Yes  
    1720     16+ years        No      No     9.999   Yes  
    1724    < 12 years        No      No    2.3355   Yes  
    1726   12-15 years        No      No     11.88    No  
    1736   12-15 years        No      No     8.654    No  
    1745    < 12 years        No      No     2.042    No  
    1749   12-15 years        No      No    20.066    No  
    1754   12-15 years        No      No     10.36    No  
    1758     16+ years        No      No   24.8325   Yes  
    1760   12-15 years        No      No     27.47   Yes  
    1769   12-15 years        No      No    14.743    No  
    1778   12-15 years        No      No     7.198    No  
    1781    < 12 years        No      No    12.999    No  
    1783    < 12 years        No      No    45.235    No  
    1787     16+ years        No      No     13.58   Yes  
    1789   12-15 years        No      No    21.706    No  
    1791    < 12 years        No      No    37.582    No  
    1795   12-15 years        No      No    4.9145   Yes  
    1798   12-15 years        No      No    14.196    No  
    1805   12-15 years        No      No    2.6095   Yes  
    1813   12-15 years        No      No    20.419   Yes  
    1814    < 12 years        No      No      .381    No  
    1817    < 12 years        No      No    61.771    No  
    1820     16+ years        No      No    42.847    No  
    1826   12-15 years        No      No    23.565    No  
    1835   12-15 years        No      No     42.01    No  
    1837    < 12 years        No      No    46.138    No  
    1841   12-15 years        No      No     21.44    No  
    1843   12-15 years        No      No    17.002   Yes  
    1846    < 12 years        No      No    53.405    No  
    1852   12-15 years        No      No     9.166   Yes  
    1853   12-15 years        No      No    10.831    No  
    1861     16+ years        No      No     5.038    No  
    1867    < 12 years        No      No    10.182    No  
    1868    < 12 years        No      No    23.348    No  
    1870   12-15 years        No      No   10.1655   Yes  
    1872    < 12 years        No      No    35.001    No  
    1877   12-15 years        No      No      .561    No  
    1879   12-15 years        No      No     43.08    No  
    1881   12-15 years        No      No    12.241    No  
    1883     16+ years        No      No     3.874    No  
    1887    < 12 years        No      No     6.023    No  
    1890   12-15 years        No      No      .912   Yes  
    1895   12-15 years        No      No      .767    No  
    1902   12-15 years        No      No      8.75   Yes  
    1921    < 12 years        No      No     4.331    No  
    1924    < 12 years        No      No    13.999    No  
    1934   12-15 years        No      No    15.559    No  
    1943   12-15 years        No      No    17.331    No  
    1945   12-15 years        No      No    15.559    No  
    1948   12-15 years        No      No    6.5815   Yes  
    1955    < 12 years        No      No     6.086   Yes  
    1964    < 12 years        No      No     4.419   Yes  
    1969   12-15 years        No      No     5.914   Yes  
    1976    < 12 years        No      No    36.356    No  
    1981   12-15 years        No      No      .608   Yes  
    1985    < 12 years        No      No    24.999    No  
    1987    < 12 years        No      No    6.2505   Yes  
    1994   12-15 years        No      No    16.726    No  
    1996   12-15 years        No      No    11.833    No  
    1999   12-15 years        No      No    29.823    No  
    2001   12-15 years        No      No    5.9195   Yes  
    2005    < 12 years        No     Yes     9.662    No  
    2031   12-15 years        No      No    40.597    No  
    2034   12-15 years        No      No    40.597    No  
    2036   12-15 years        No      No     .9745   Yes  
    2042    < 12 years        No      No     7.313   Yes  
    2049    < 12 years        No      No     3.526    No  
    2051    < 12 years        No      No    29.999    No  
    2064     16+ years        No      No    11.584    No  
    2067    < 12 years        No      No    18.998    No  
    2069    < 12 years        No      No    31.017    No  
    2073    < 12 years        No      No   24.4035   Yes  
    2075    < 12 years        No      No    55.915    No  
    2078    < 12 years        No      No    55.915    No  
    2081     16+ years        No      No     7.406   Yes  
    2083   12-15 years        No      No    1.9985   Yes  
    2085   12-15 years        No      No    18.374    No  
    2091   12-15 years        No      No    28.501    No  
    2093     16+ years        No      No    21.829    No  
    2095     16+ years        No      No        24    No  
    2098     16+ years        No      No        24    No  
    2101   12-15 years        No      No    38.215    No  
    2107    < 12 years        No      No   18.3765   Yes  
    2117    < 12 years        No      No    19.347   Yes  
    2119   12-15 years        No      No    21.591   Yes  
    2122     16+ years        No      No    21.591   Yes  
    2126   12-15 years        No      No    32.033    No  
    2128     16+ years        No      No     27.42    No  
    2132     16+ years        No      No     46.36    No  
    2136   12-15 years        No      No     3.918   Yes  
    2139   12-15 years        No      No     5.251   Yes  
    2141   12-15 years        No      No     1.793    No  
    2148   12-15 years        No      No    24.025    No  
    2149   12-15 years        No      No    24.025    No  
    2151     16+ years        No      No    25.555    No  
    2154     16+ years        No      No    21.591    No  
    2157   12-15 years        No      No    23.639    No  
    2163     16+ years        No      No    32.394    No  
    2167     16+ years        No      No     1.114    No  
    2175   12-15 years        No      No    34.001    No  
    2177    < 12 years       Yes      No    30.094    No  
    2179    < 12 years       Yes      No    45.944    No  
    2181    < 12 years        No      No    24.794   Yes  
    2183   12-15 years        No      No    39.959    No  
    2186   12-15 years        No      No    38.702    No  
    2190    < 12 years        No      No     5.812    No  
    2192    < 12 years        No      No    5.3335   Yes  
    2195     16+ years        No      No    57.919    No  
    2198   12-15 years        No      No     3.003    No  
    2200    < 12 years       Yes      No   15.5465   Yes  
    2203    < 12 years       Yes      No    11.671    No  
    2208   12-15 years        No      No    13.498    No  
    2211    < 12 years        No      No     6.483   Yes  
    2215    < 12 years        No      No      .991    No  
    2223     16+ years        No      No    13.807    No  
    2225    < 12 years        No      No     18.01    No  
    2227    < 12 years        No     Yes    15.707    No  
    2235   12-15 years        No      No    28.252    No  
    2239    < 12 years        No      No     1.714    No  
    2246   12-15 years        No      No     1.328   Yes  
    2256   12-15 years        No      No   10.2505   Yes  
    2259   12-15 years        No      No    18.122   Yes  
    2260    < 12 years        No      No     3.548    No  
    2262   12-15 years        No      No    12.723    No  
    2266    < 12 years        No      No   13.1005   Yes  
    2271   12-15 years        No      No     3.548    No  
    2274     16+ years        No      No   31.5945   Yes  
    2279    < 12 years        No      No     8.063    No  
    2295   12-15 years        No      No   25.7495   Yes  
    2298     16+ years        No      No    30.251    No  
    2317    < 12 years        No      No    44.131    No  
    2321    < 12 years        No      No     6.869   Yes  
    2322   12-15 years        No      No    7.2715   Yes  
    2324    < 12 years       Yes      No   22.7995   Yes  
    2328   12-15 years       Yes      No    8.9145   Yes  
    2348   12-15 years       Yes      No    23.488    No  
    2350    < 12 years        No      No    30.166    No  
    2352   12-15 years        No      No    11.001   Yes  
    2358   12-15 years        No      No   31.0005   Yes  
    2361     16+ years        No      No    14.842    No  
    2367     16+ years        No      No      8.11    No  
    2370    < 12 years       Yes      No    50.919    No  
    2375     16+ years       Yes      No     9.719    No  
    2377    < 12 years       Yes      No   22.4995   Yes  
    2379    < 12 years        No      No   23.7505   Yes  
    2382    < 12 years        No      No     38.33    No  
    2384    < 12 years        No      No    31.373    No  
    2389   12-15 years        No      No     6.048    No  
    2398     16+ years        No      No    3.0005   Yes  
    2401     16+ years        No      No    4.9885   Yes  
    2405     16+ years        No      No      1.93   Yes  
    2407   12-15 years        No      No    20.167   Yes  
    2410   12-15 years        No      No   20.3315   Yes  
    2415    < 12 years        No      No     5.993    No  
    2428   12-15 years        No      No    2.0805   Yes  
    2432   12-15 years        No      No    15.116    No  
    2434     16+ years        No      No    20.381    No  
    2437   12-15 years        No      No    21.832    No  
    2439   12-15 years        No      No    46.806    No  
    2440     16+ years        No      No     8.843    No  
    2446   12-15 years        No      No    11.444    No  
    2453   12-15 years        No      No     6.738   Yes  
    2455     16+ years        No      No     3.838    No  
    2458   12-15 years        No      No    30.185    No  
    2462    < 12 years        No      No      3.42   Yes  
    2473    < 12 years        No      No    23.422    No  
    2482   12-15 years        No      No    36.474    No  
    2485   12-15 years        No      No    36.474    No  
    2487   12-15 years        No      No    42.924    No  
    2490   12-15 years        No      No    42.924    No  
    2502   12-15 years        No      No    30.913    No  
    2504     16+ years        No      No    32.986    No  
    2508     16+ years        No      No     5.752    No  
    2515    < 12 years        No      No      .548    No  
    2518     16+ years        No      No    22.664    No  
    2520   12-15 years        No      No    38.595    No  
    2523   12-15 years        No      No    38.587    No  
    2528   12-15 years        No      No    18.404    No  
    2546   12-15 years        No      No    16.504    No  
    2548   12-15 years        No      No    42.834    No  
    2556    < 12 years        No      No     4.838    No  
    2558   12-15 years        No      No    11.332   Yes  
    2563     16+ years        No      No     4.838    No  
    2566     16+ years        No      No    45.626    No  
    2568     16+ years        No      No     32.83    No  
    2572   12-15 years        No      No    12.172    No  
    2578   12-15 years        No      No    13.194    No  
    2581   12-15 years        No      No    12.172    No  
    2587   12-15 years        No      No    11.047    No  
    2589    < 12 years        No      No    46.333    No  
    2592    < 12 years        No      No    45.749    No  
    2594   12-15 years        No      No    35.584    No  
    2597   12-15 years        No      No    28.999    No  
    2598   12-15 years        No      No    23.702    No  
    2602    < 12 years       Yes      No    50.084    No  
    2604    < 12 years       Yes      No     6.001    No  
    2610   12-15 years       Yes      No         4    No  
    2612   12-15 years        No      No   15.7385   Yes  
    2616   12-15 years        No      No     5.266   Yes  
    2619    < 12 years        No      No    49.588    No  
    2621   12-15 years        No      No    12.419   Yes  
    2624     16+ years        No      No     3.001   Yes  
    2628     16+ years        No      No    22.667    No  
    2630     16+ years        No      No    25.027    No  
    2632   12-15 years        No      No    24.003    No  
    2634   12-15 years        No      No    39.023    No  
    2636   12-15 years        No      No    29.218    No  
    2638   12-15 years        No      No    14.638   Yes  
    2647    < 12 years        No      No     7.551    No  
    2656   12-15 years        No      No   10.9155   Yes  
    2660   12-15 years        No      No    15.422    No  
    2662   12-15 years        No      No     9.139    No  
    2664     16+ years        No      No    43.929    No  
    2668   12-15 years        No      No     6.505   Yes  
    2671   12-15 years        No      No    30.546    No  
    2674     16+ years        No      No    58.916    No  
    2676    < 12 years        No      No     5.667   Yes  
    2679    < 12 years        No      No    22.935    No  
    2682    < 12 years        No      No    12.999   Yes  
    2684   12-15 years       Yes      No    21.999    No  
    2688    < 12 years        No      No    45.437    No  
    2690    < 12 years        No      No    14.998    No  
    2698    < 12 years        No      No    62.861    No  
    2700    < 12 years        No      No    32.079    No  
    2701   12-15 years        No      No     9.914    No  
    2702     16+ years        No      No     6.152    No  
    2703   12-15 years        No      No      7.42   Yes  
    2705    < 12 years        No      No    35.937    No  
    2708    < 12 years        No      No    38.001    No  
    2712    < 12 years        No      No    32.186    No  
    2714   12-15 years        No      No    19.997    No  
    2716   12-15 years       Yes      No     5.013   Yes  
    2719   12-15 years        No      No    39.001    No  
    2727    < 12 years        No      No      5.86    No  
    2729   12-15 years        No      No     29.35    No  
    2737    < 12 years        No      No    27.997    No  
    2739   12-15 years        No      No     2.001    No  
    2742    < 12 years        No      No    30.749    No  
    2747   12-15 years        No      No     5.503   Yes  
    2752    < 12 years        No      No     8.246   Yes  
    2754     16+ years        No      No    33.919    No  
